index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,lookup_throughput_mops1,lookup_throughput_mops2,lookup_throughput_mops3,search_method,value
LIPP,10190208,7805022,5315847,11825716736,4.17996,5.52823,7.47885
BTree,1785202,1753442,1747424,2125000432,1.50293,1.49321,1.52033,LinearSearch,6
BTree,1277481,1246823,1244321,1856251088,1.64224,1.62721,1.66565,LinearSearch,8
BTree,775622,758326,759709,1601106264,1.83514,1.8515,1.8321,InterpolationSearch,16
DynamicPGM,4478767,4583040,4443974,1719163668,2.22818,2.22113,2.22641,BinarySearch,16
DynamicPGM,4449926,4438103,4439812,1719163668,2.28819,2.26321,2.26278,LinearSearch,16
DynamicPGM,3210386,3205965,3206119,1703456888,2.28214,2.28888,2.2751,BinarySearch,32
LIPP,10561902,7591235,5202787,11825716736,6.26296,7.16632,7.34215
BTree,2052878,1820375,1856899,2125000432,0.769084,0.738808,1.24067,LinearSearch,6
BTree,1368727,1275535,1297116,1856251088,1.34608,1.43342,1.4168,LinearSearch,8
BTree,765114,763709,766927,1601106264,1.56208,1.60462,1.62765,InterpolationSearch,16
DynamicPGM,4631503,4622196,4638844,1719163668,2.18604,2.17458,2.19009,BinarySearch,16
DynamicPGM,4649729,4603394,4616217,1719163668,2.25623,2.25872,2.23599,LinearSearch,16
DynamicPGM,3516050,3325656,3267165,1703456888,2.18248,2.2671,2.26368,BinarySearch,32
