index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,insert_throughput_mops1,lookup_throughput_mops1,insert_throughput_mops2,lookup_throughput_mops2,insert_throughput_mops3,lookup_throughput_mops3,search_method,value
LIPP,13309114,8190166,6584824,11785680160,0.995026,3.67493,1.03217,4.15575,2.64356,6.28194
BTree,1354018,998801,942451,2440801792,0.395623,0.777372,0.57377,1.03394,0.712608,1.06922,InterpolationSearch,10
BTree,818718,1006882,944777,2197433696,0.921524,1.26657,0.919562,1.27825,0.873081,1.28969,LinearSearch,8
BTree,438946,439315,458643,3078089616,0.63709,1.15174,0.616187,1.17426,0.634822,1.18422,InterpolationSearch,12
DynamicPGM,3110991,2981353,3093490,1700010968,6.55806,0.487301,7.07634,0.457992,6.99084,0.525718,InterpolationSearch,256
DynamicPGM,3149186,3155840,3178765,1700049628,7.02781,0.495671,6.14563,0.498389,7.03396,0.493618,InterpolationSearch,128
DynamicPGM,3116555,3115098,3124794,1700003188,6.61336,0.487967,6.61153,0.508518,6.75711,0.509069,InterpolationSearch,512
LIPP,16740533,8003746,6554619,11785680160,0.783038,1.82484,2.54473,6.00346,2.2661,5.55824
BTree,984244,952758,910048,2440801792,0.619131,1.05964,0.625024,1.07602,0.740798,1.12292,InterpolationSearch,10
BTree,831731,871748,759018,2197433696,0.977507,1.40689,0.947719,1.34092,0.967304,1.3775,LinearSearch,8
BTree,427027,446793,426520,3078089616,0.649213,1.2622,0.662217,1.30127,0.651479,1.30912,InterpolationSearch,12
DynamicPGM,3485208,2687048,3029206,1700010968,7.15662,0.578798,6.93944,0.565824,7.14595,0.55547,InterpolationSearch,256
DynamicPGM,2987665,2785414,2819611,1700049628,7.24796,0.592007,7.24139,0.568129,7.34455,0.636194,InterpolationSearch,128
DynamicPGM,2650507,2631818,2637578,1700003188,6.7696,0.654485,7.05276,0.656254,6.96902,0.646333,InterpolationSearch,512
