index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,18676336,8123474,5278037,11753646960,1.09333,2.61808,2.73023
BTree,1384774,1221666,1164161,2365640552,0.864882,0.860766,0.901835,LinearSearch,8
BTree,522789,486441,977186,2764350832,0.675154,0.694991,0.409002,InterpolationSearch,10
BTree,440195,437293,433960,3159720104,0.667614,0.675633,0.687092,InterpolationSearch,12
DynamicPGM,4053860,3884679,3875422,1703244608,2.66911,2.86185,3.23027,LinearSearch,32
DynamicPGM,3091265,3090487,3083807,1700049408,3.24597,3.2111,3.23471,InterpolationSearch,128
DynamicPGM,3010685,3014990,2998244,1700011008,3.21262,3.17731,3.19577,InterpolationSearch,256
LIPP,11635422,7936411,5630436,11753646960,2.40462,2.60314,2.57428
BTree,1356070,1395503,1139758,2365640552,0.711571,0.933436,0.912566,LinearSearch,8
BTree,495793,493357,495942,2764350832,0.687529,0.716346,0.721293,InterpolationSearch,10
BTree,429287,429947,429899,3159720104,0.700943,0.708134,0.705823,InterpolationSearch,12
DynamicPGM,3721548,3796434,4955024,1703244608,3.25848,3.25452,3.22947,LinearSearch,32
DynamicPGM,3007209,3030565,3020988,1700049408,3.2526,3.13091,3.24277,InterpolationSearch,128
DynamicPGM,2860758,2865596,2854413,1700011008,3.31752,3.31652,3.3333,InterpolationSearch,256
