index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,lookup_throughput_mops1,lookup_throughput_mops2,lookup_throughput_mops3,search_method,value
LIPP,8188377,6426140,4730675,12706615072,10.4043,8.42564,9.90767
DynamicPGM,5184056,5080986,5009623,1721297388,1.96011,2.15587,2.05984,LinearSearch,16
DynamicPGM,4466841,4411284,4350047,1702563708,1.5639,1.82397,1.65679,BinarySearch,128
DynamicPGM,5120434,5142468,5108747,1721297388,1.76367,2.00086,1.84376,BinarySearch,16
LIPP,8104394,6483578,4628652,12706615072,10.1243,8.13577,8.94566
DynamicPGM,5079909,5188011,5144786,1721297388,1.98618,2.00118,2.41713,LinearSearch,16
DynamicPGM,4337323,4381381,4405460,1702563708,1.68573,1.56386,1.57025,BinarySearch,128
DynamicPGM,5126224,5071384,5160895,1721297388,2.02887,1.80815,1.77633,BinarySearch,16
HybridPGMLIPP,5091195,5077487,5113678,1734772396,1.44376,1.58937,1.444,LinearSearch,16,1,adaptive
HybridPGMLIPP,5152591,5122738,5104360,1734772396,1.34864,1.51575,1.32515,BinarySearch,16,1,adaptive
