index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,8164577,6246598,4705271,12658596576,2.83097,2.59646,2.69732
DynamicPGM,3929563,3899959,3866134,1700494088,2.74805,2.77844,3.01907,BinarySearch,512
DynamicPGM,4626585,4636049,4581477,1705154788,2.90387,2.93985,2.91445,BinarySearch,64
DynamicPGM,4375548,4336739,4476337,1702518488,3.11524,2.8677,2.90781,BinarySearch,128
LIPP,7912395,6231096,4577889,12658596576,2.87963,2.61524,2.64272
DynamicPGM,3781456,3766071,3767768,1700494088,2.85252,2.924,2.91625,BinarySearch,512
DynamicPGM,4458589,4443852,4462442,1705154788,3.01477,3.04075,3.03206,BinarySearch,64
DynamicPGM,4224503,4233391,4228440,1702518488,3.00169,2.96209,2.99079,BinarySearch,128
HybridPGMLIPP,4856062,4889321,4916372,1734561796,2.12925,2.16724,2.1787,BinarySearch,16,1,adaptive
HybridPGMLIPP,4903954,4936016,4921382,1734561796,2.19927,2.20881,2.23174,LinearSearch,16,1,adaptive
