index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,lookup_throughput_mops1,lookup_throughput_mops2,lookup_throughput_mops3,search_method,value
LIPP,14777913,9329396,6968557,20629125376,5.65319,5.4439,5.75118
BTree,1768349,1758678,1740962,2125000432,1.91881,1.97,1.96102,LinearSearch,6
BTree,1271907,1256036,1261625,1856251088,2.0755,2.08348,2.09063,LinearSearch,8
BTree,770554,771556,768254,1600535632,1.84085,1.87568,1.86829,BinarySearch,18
DynamicPGM,4763888,4727410,4980647,1716194548,2.26759,2.18108,2.25703,BinarySearch,16
DynamicPGM,4413514,4425117,4393344,1707696288,2.2177,2.20964,2.21014,BinarySearch,32
DynamicPGM,4785892,4794329,4731007,1716194548,2.2139,2.19316,2.20239,LinearSearch,16
LIPP,14452588,9145229,6942395,20629125376,5.66621,5.68862,5.55095
BTree,1748508,1717407,1726977,2125000432,1.90104,1.89915,1.92425,LinearSearch,6
BTree,1255520,1228752,1224958,1856251088,2.03974,1.99354,2.0349,LinearSearch,8
BTree,746138,750551,745653,1600535632,1.80639,1.82878,1.84513,BinarySearch,18
DynamicPGM,4707262,4691896,4730263,1716194548,2.14725,2.17267,2.27952,BinarySearch,16
DynamicPGM,4353829,4401095,4397543,1707696288,2.2149,2.14615,2.20096,BinarySearch,32
DynamicPGM,4715121,4692138,4711593,1716194548,2.19063,2.19926,2.19721,LinearSearch,16
