index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,14598313,9272736,6836903,20602223600,4.47625,3.92353,4.45474
BTree,1336922,1330480,1365693,1956115776,1.60591,1.62512,1.73986,LinearSearch,8
BTree,1109686,1097739,1125971,2197309992,1.5852,1.68089,1.69355,LinearSearch,6
BTree,471161,471099,484463,1881879368,1.32658,1.31355,1.3141,LinearAVX,10
DynamicPGM,4151275,4135128,4132992,1700920448,1.12997,1.13787,1.14132,BinarySearch,256
DynamicPGM,4300248,4339065,4317824,1703719948,1.18081,1.18078,1.20035,BinarySearch,64
DynamicPGM,4172593,4153832,4182701,1701834188,1.14698,1.15075,1.14815,BinarySearch,128
LIPP,14368271,9196550,6825164,20602223600,4.54686,4.62572,4.7064
BTree,1396263,1373864,1400011,1956115776,1.51566,1.57596,1.55624,LinearSearch,8
BTree,1160214,1135783,1133890,2197309992,1.53267,1.57862,1.62156,LinearSearch,6
BTree,474826,474776,475339,1881879368,1.27462,1.3001,1.28717,LinearAVX,10
DynamicPGM,4174625,4075902,4105918,1700920448,1.13045,1.12392,1.14225,BinarySearch,256
DynamicPGM,4307119,4218348,4196835,1703719948,1.17182,1.18259,1.21575,BinarySearch,64
DynamicPGM,4090853,4129084,4118813,1701834188,1.17111,1.16326,1.16305,BinarySearch,128
