index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,insert_throughput_mops1,lookup_throughput_mops1,insert_throughput_mops2,lookup_throughput_mops2,insert_throughput_mops3,lookup_throughput_mops3,search_method,value
LIPP,14745648,9091783,6864765,20506973408,1.71872,5.41406,1.76785,4.79952,1.77066,5.35331
BTree,1347254,1217292,1227214,2197433696,0.874158,1.76912,0.999608,1.82214,1.01352,1.86776,LinearSearch,8
BTree,1071381,1068365,1036391,2379139992,0.90223,1.66495,0.942021,1.73461,0.918874,1.65603,LinearSearch,6
BTree,490013,489210,505533,2440801792,0.744779,1.45598,0.743156,1.45518,0.743052,1.45327,LinearAVX,10
DynamicPGM,4004614,3962856,3975390,1700238828,6.415,0.154017,6.59598,0.154782,6.60792,0.155006,LinearSearch,1024
DynamicPGM,3968433,3956231,3944854,1700238828,6.38033,0.59529,6.39029,0.592043,6.50723,0.598191,BinarySearch,1024
DynamicPGM,3943845,3965225,3985122,1700238828,6.80184,0.347552,6.69085,0.347259,6.65484,0.346285,InterpolationSearch,1024
LIPP,13781627,9056890,6719299,20506973408,1.82058,5.19336,1.74745,5.78965,1.66703,5.36963
BTree,1336331,1187839,1168138,2197433696,0.871091,1.79254,0.988373,1.79514,1.02539,1.77758,LinearSearch,8
BTree,1066441,1060826,1044026,2379139992,0.899095,1.67027,0.909758,1.65392,0.9104,1.6911,LinearSearch,6
BTree,493130,510897,489239,2440801792,0.740885,1.45213,0.742149,1.45507,0.741751,1.44481,LinearAVX,10
DynamicPGM,3991556,3913893,3915327,1700238828,6.65504,0.154192,6.82988,0.157309,6.79107,0.155538,LinearSearch,1024
DynamicPGM,3908763,3897801,3909169,1700238828,6.53536,0.599854,6.48881,0.598407,6.54906,0.597426,BinarySearch,1024
DynamicPGM,3897561,3912495,3964316,1700238828,6.8579,0.349281,6.82393,0.348657,6.81505,0.345301,InterpolationSearch,1024
